President,Birth State,Death State,University,Highest Degree Held,Religion,Occupation,Military Service,Term,Party,Vice President,Previous Office,has_higher_education,previous_office_group,era,Portrait,Summary
Chester A. Arthur,New York,New York,Union College,Bachelors,Episcopalian,Customs Collector of NY port,Quartermaster General of New York State Militia,1881-1885,Republican,none,Vice President,TRUE,Vice President,Industrial Expansion,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53294v.jpg,"Chester A. Arthur, James A. Garfield's vice president, had received all his political jobs--including the vice presidency--in return for his loyalty to the Republican Party. When he became president after Garfield's assassination, Arthur surprised his party in 1883 by signing the Pendleton Act, which established the Civil Service Commission. Under the Act, those seeking jobs in the civil service had to pass exams pertinent to the position. This did not please the Republicans who had previously supported Arthur up the political ladder, and he was not nominated for a second term."
Grover Cleveland,New York,New Jersey,No University,No Degree,Disciples of Christ,"Sheriff, Lawyer, Teacher",No Service,1885-1889,Democratic,Thomas Hendricks,Governor of New York,FALSE,Governor,Industrial Expansion,https://tile.loc.gov/storage-services/service/pnp/cph/3b30000/3b37000/3b37800/3b37829r.jpg,"Grover Cleveland was the first president to be elected to two non-consecutive terms. A staunch political and social conservative, Grover Cleveland was known for his integrity and reformist activities. When he was elected governor of New York in 1882, he went after the corrupt Democratic political machine of Tammany Hall, courageously defying the ""Bosses"" who controlled the party. Nominated on the second ballot at the 1884 Democratic convention, Cleveland won election by the smallest popular margin in American history. The first Democratic president since the Civil War, Cleveland appointed Southerners to a number of posts. For the most part, he believed in a ""hands off"" presidency, avoiding involvement in proposed legislation, but quickly rejecting congressional actions he disapproved of. In fact, Cleveland vetoed more legislation than any president before him, gaining him the nickname ""Old Veto."" During his first term in office, Cleveland married 21-year old Francis Folsom. Twenty-eight years his junior, the young and beautiful First Lady became very popular with the public. Cleveland lost the 1888 election over his proposal to reduce tariffs on foreign goods, but was reelected in 1893 on a platform of economy in government--and tariff reduction. Soon after his reelection, the country suffered a severe economic depression, the Panic of 1893; despite the suffering of the unemployed, Cleveland stayed true to his ""hands off"" government policy and would not intervene. However, when Pullman railroad workers went on strike over a pay cut in 1894, interfering with the delivery of the U.S. mail, Cleveland sent in federal troops to break it up. Cleveland did better with foreign affairs, citing the Monroe Doctrine to force arbitration of a boundary between Venezuela and British Guiana."
Benjamin Harrison,Indiana,Indiana,Miami University,Bachelors,Presbyterian,"Lawyer, Journalist",Brigadier General of Vol.,1889-1893,Republican,Levi Morton,Senator (IN),TRUE,Legislative,Industrial Expansion,https://tile.loc.gov/storage-services/service/pnp/cph/3a10000/3a10000/3a10200/3a10254v.jpg,"Grandson of President William Henry Harrison and great-grandson of a signer of the Declaration of Independence, Benjamin Harrison was a colonel in the Civil War and a Senator from Indiana prior to becoming president. A gifted public speaker, Harrison was so cold on a personal level--obsessed with germs, he wore gloves when shaking hands--that he was nicknamed the ""Human Iceberg."" During Harrison's administration, six states were admitted to the Union. He approved the Dependent Pension Act establishing funds for disabled Civil War veterans that Grover Cleveland had vetoed, set aside large appropriations for rivers and harbors, laid the groundwork for trade agreements with Latin America, and saw Congress pass the Sherman Silver Bill of 1890. The bill committed the U.S. Treasury to buy 4.5 million ounces of silver per month which triggered the Panic of 1893--just in time for Grover Cleveland's second administration."
William McKinley,Ohio,New York,Albany Law School,No Degree,Methodist,Lawyer,Brevet Major of Volunteers in Civil War,1897-1901,Republican,"Garret Hobart , Th. Roosevelt",Governor of Ohio,TRUE,Governor,Industrial Expansion,https://tile.loc.gov/storage-services/service/pnp/cph/3a10000/3a10000/3a10800/3a10814v.jpg,"In the Civil War, William McKinley served admirably under future president Rutherford B. Hayes. When McKinley was elected president in 1896, he emulated his predecessor Grover Cleveland's ""hands off"" approach, allowing big business to run amok. But when he passed the Dingley Tariff Act, establishing higher tariffs on imports, the American economy finally turned around for everyone. It was at foreign policy that McKinley excelled. In 1898, McKinley tried to help Cuba declare independence from Spain. When the American battleship Maine was blown up in Havana harbor, the U.S. declared war on Spain and won in four short months. Also in 1898, the United States annexed Hawaii, acquired Guam, Puerto Rico, and the Philippines Islands through the Treaty of Paris. Meanwhile, Secretary of State John Hays negotiated a trade policy with China, and arranged for the treaty under which the U.S. would build and own the Panama Canal. Winning reelection in 1900, McKinley was shot by a Polish anarchist in Buffalo the following year."
Theodore Roosevelt,New York,New York,Harvard University,Bachelors,Dutch Reformed,"Public Official, Rancher, Author",Colonel,1901-1909,Republican,Charles Fairbanks,Vice President,TRUE,Vice President,Industrial Expansion,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53200/3a53299r.jpg,"When McKinley was shot, Theodore Roosevelt became the youngest ever president of the United States, at the age of forty-two. A popular war hero from the Spanish-American War in which he led the famous Rough Rider Regiment on the charge up Cuba's San Juan Hill, Roosevelt had a reputation for courage, boundless energy, and idealism, which he amply demonstrated as president. Despite his wealthy origins, Roosevelt felt that it was his duty to protect American workers from the power of wealthy business interests. When Pennsylvania coal miners went on strike for higher wages in 1902, Roosevelt supported the workers and threatened to close down the mines unless the owners agreed to negotiate; he brought both sides to Washington, where the miners won many of their demands. A strong believer in racial equality, Roosevelt was the first president to dine with an African American in the White House. His guest was Booker T. Washington, renowned educator and principal of the Tuskegee Institute in Alabama. In 1904 Roosevelt was decisively reelected to his second term, during which he continued to support workers and average Americans by crusading as a ""Trust Buster"" against the unfair price-setting practices of big business. He went after railroad corruption with the Elkins Act, endorsed the Pure Food and Drug Act, and encouraged the vigorous lifestyle he and his large family so enjoyed by doubling the number of national parks and adding 150 million acres to the nation's forest reserve. Although Roosevelt was fond of hunting wild game, his refusal to shoot a captured bear cub on a hunting trip in Mississippi inspired the stuffed toy known today as the teddy bear. Roosevelt's mediation of the Russo-Japanese War won him a 1906 Nobel Peace Prize."
William Howard Taft,Ohio,District of Columbia,University of Cincinatti,Bachelors,Unitarian,"Judge, Dean of Law School",No Service,1909-1913,Republican,James Sherman,Chief Justice,TRUE,Judicial,Industrial Expansion,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53300/3a53300v.jpg,"Friendly and good-natured, William Howard Taft pursued the White House with the encouragement of Theodore Roosevelt. The energetic former president was a hard act to follow, but Taft's administration turned out to be an active one. Along with the continued prosecution of unfair business practices under the Sherman Antitrust Act, the country saw the establishment of the postal savings bank, the parcel-post system, and the adoption of the Sixteenth Amendment calling for the collection of income tax. Taft was the first president to buy automobiles for the White House, and he created the presidential tradition of throwing out the first ball on opening day of the baseball season. After facing a rough reelection campaign in 1912, Taft declared himself happy to leave the White House. In 1921, he was appointed chief justice of the Supreme Court and subsequently swore presidents Calvin Coolidge and Herbert Hoover into office."
Woodrow Wilson,Virginia,District of Columbia,Johns Hopkins University,PhD,Presbyterian,"Professor, Political scientist",No Service,1913-1921,Democratic,Thomas Marshall,Governor of New Jersey,TRUE,Governor,World Wars,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a55000/3a55000/3a55007v.jpg,"Woodrow Wilson brought a brilliant intellect, strong moral convictions, and a passion for reform to his two terms as president. The ideas he brought with him had been developed during an earlier career as professor of political economy, president of Princeton University, and governor of New Jersey. On the domestic front, Wilson established economic reforms and presided over two Constitutional amendments: the 18th, which instituted the prohibition of alcohol, and the 19th, which granted women the right to vote. His strong belief in peace and international cooperation could not keep the United States from entering World War I, and though Wilson provided effective wartime leadership, he put equal effort into crafting the postwar peace agreement and providing the vision for a new League of Nations. Though his efforts won him a Nobel Peace Prize, his dogged pursuit of an idealistic moral vision was not universally popular and was thwarted by Congress. After suffering a debilitating stroke in 1919, Wilson relied heavily on his wife, Edith, to help run the White House for the remainder of his term."
Warren G. Harding,Ohio,California,Ohio Central College,Bachelors,Baptist,Newspaper Publisher/Editor,No Service,1921-1923,Republican,Calvin Coolidge,Senator (OH),TRUE,Legislative,World Wars,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53300/3a53301v.jpg,"Campaigning on the theme ""Back to Normalcy,"" Warren G. Harding promised the American people a rest from the policies of war. Harding did not use the power of his office well, ceding much to the will of Congress, who passed legislation to limit immigration, raised tariffs to their highest rate ever, and--with the assistance of Secretary of the Treasury Andrew Mellon--reduced income taxes and the national debt. It was Harding's trusted advisors, however, members with whom he regularly played poker and drank boot legged liquor, who turned his term in office into a scandal-ridden mess. The most well-known was the Teapot Dome Affair, in which the Secretary of the Interior took a large payoff in return for drilling rights to federal land. There was also corruption in the Office of the Alien Property Custodian, the Veteran's Bureau, and elsewhere in the administration. Harding was never directly implicated in any of these scandals, and before being fully investigated, he died suddenly in San Francisco in his last year in office. The truth about Harding's involvement in the graft that marred his administration may never be known--after the president's death, his wife hurried back to the White House and burned all of his official correspondence."
Calvin Coolidge,Vermont,Massachusetts,Amherst College,Bachelors,Congregationalist,"Lawyer, Banker",No Service,1923-1929,Republican,Charles Dawes,Vice President,TRUE,Vice President,World Wars,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a53000/3a53300/3a53302v.jpg,"Calvin Coolidge took office after Warren G. Harding's sudden--and some say mysterious--death. ""Silent Cal"" was reserved and honest, and his incorruptible presence was such a relief after the sordid goings-on of the previous administration that he easily won the 1924 election. The American economy was in the midst of ""The Roaring Twenties,"" with a booming stock market and easy credit, and Coolidge felt that a ""hands off"" government would keep the economy going strong. Even the murmerings of an agricultural depression causing farm foreclosures in the last years of his presidency did not cause Coolidge to involve the government in financial matters, and he remained popular to the end of his term in office."
Herbert Hoover,Iowa,New York,Stanford University,Bachelors,Society of Friends (Quaker),Engineer,No Service,1929-1933,Republican,Charles Curtis,Secretary of Commerce,TRUE,Cabinet,World Wars,https://tile.loc.gov/storage-services/service/pnp/cph/3a20000/3a25000/3a25100/3a25105v.jpg,"History might have a very different opinion of Herbert Hoover if he hadn't happened to preside over one of America's worst financial disasters. Hoover began his term at the tail end of a decade of unprecedented prosperity. However, rampant speculation led to the stock market crash of 1929, ushering in an era of severe economic depression. Though Hoover, a self-made millionaire and engineering magnate, attempted to bring some relief to the country's ailing financial institutions, he felt it was not the government's place to directly assist the individuals and families who were adversely affected by the hard times. Fairly or unfairly, he was blamed for the worsening depression and voted out of office after one term. Ironically, Hoover is also remembered for his brilliant administration of food and other types of aid during World War I, and again after World War II."
